run,version,purchaseOrdinal,beforeGold,afterGold,displayedPrice,derivedGoldSpent,acceptedUnits,deployedCount,farmingActive,inputElapsedSeconds,beforeElapsedSeconds,afterElapsedSeconds,beforeScreenshot,afterScreenshot,beforeSha256,afterSha256,status,notes
RUN-03,LIVE_CRAZY3.16.2,1,100,99,1,1,1,0,NO,4136.169,4081.893,4137.287,analysis/reference/purchase_capture/purchase-00-before.png,analysis/reference/purchase_capture/purchase-01-after.png,c2292a09f2190da4c166110ba016a64f28dfb5836ca73c8ab93f902aa8fb044c,f680d837598a2f5f366b9e77936dd55b39bf6cc958a6a9c44e4afd6cb06bd9cf,OBSERVED_SINGLE_PURCHASE,Tutorial;tier1;one tap;no other reward during interval
RUN-03,LIVE_CRAZY3.16.2,2,99,98,1,1,1,0,NO,4137.307,4137.287,4138.531,analysis/reference/purchase_capture/purchase-01-after.png,analysis/reference/purchase_capture/purchase-02-after.png,f680d837598a2f5f366b9e77936dd55b39bf6cc958a6a9c44e4afd6cb06bd9cf,29beca17075e293370dd9751db23ad6e5364e99396527bd7fc97d75f7418a594,OBSERVED_SINGLE_PURCHASE,Tutorial;tier1;one tap;no other reward during interval
RUN-03,LIVE_CRAZY3.16.2,3,393,392,1,1,1,0,NO,5493.265,5493.248,5493.844,analysis/reference/purchase_capture/purchase-03-before-final.png,analysis/reference/purchase_capture/purchase-03-after.png,9200dd478d90e23ed8f454d863d308349337ec2febf88034f51eaa220777594a,8aa2ef0592a8981e878d176a2955264ae26af2694394563e82875c5f85f4ee69,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,4,392,391,1,1,1,0,NO,5493.85,5493.844,5494.643,analysis/reference/purchase_capture/purchase-03-after.png,analysis/reference/purchase_capture/purchase-04-after.png,8aa2ef0592a8981e878d176a2955264ae26af2694394563e82875c5f85f4ee69,3d53f34826f032039f87cbf1ee4d9b4d21f110fb72947d38d36b0a44885ff368,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,5,391,390,1,1,1,0,NO,5494.649,5494.643,5495.22,analysis/reference/purchase_capture/purchase-04-after.png,analysis/reference/purchase_capture/purchase-05-after.png,3d53f34826f032039f87cbf1ee4d9b4d21f110fb72947d38d36b0a44885ff368,98ba5f678f41902de1dfb0bea221aa41e2633fd02cd3c4b7dfe222a3e6319435,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,6,390,389,1,1,1,0,NO,5495.224,5495.22,5495.808,analysis/reference/purchase_capture/purchase-05-after.png,analysis/reference/purchase_capture/purchase-06-after.png,98ba5f678f41902de1dfb0bea221aa41e2633fd02cd3c4b7dfe222a3e6319435,52562a80fc7c19128d30bbc05748f5bd6ac0d2d279eadffb2bee21fd11c2305f,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,7,389,388,1,1,1,0,NO,5724.202,5724.191,5724.781,analysis/reference/purchase_capture/purchase-07-before.png,analysis/reference/purchase_capture/purchase-07-after.png,006c155ce9a981ab8d1b50b03131400256212e96c64fce965935e8d40b8e35d6,f11fa6f015d6800ea59e0aaad116941b2949fbc06c0f4c584bcba6944a9a6d4c,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,8,388,387,1,1,1,0,NO,5724.787,5724.781,5725.427,analysis/reference/purchase_capture/purchase-07-after.png,analysis/reference/purchase_capture/purchase-08-after.png,f11fa6f015d6800ea59e0aaad116941b2949fbc06c0f4c584bcba6944a9a6d4c,d6e2105061fd1c52a81a4f057b1d09f2b2772397ca2754039a4c8ea4371a9bdb,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,9,3437,3436,1,1,1,0,NO,6177.108,6177.099,6177.985,analysis/reference/purchase_capture/purchase-mission-tutorial-dismiss.png,analysis/reference/purchase_capture/purchase-accepted-09-after.png,7b01ae8669de08cdccb93ac71e246777f82f8f48f36ea18a6a2634a5b1ee4739,5c9e60dd103291dee345d85e100c99fd8f4d952957ed9edfbaade7d4e712be29,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
RUN-03,LIVE_CRAZY3.16.2,10,3436,3435,1,1,1,0,NO,6259.214,6177.985,6260.413,analysis/reference/purchase_capture/purchase-accepted-09-after.png,analysis/reference/purchase_capture/purchase-accepted-10-after.png,5c9e60dd103291dee345d85e100c99fd8f4d952957ed9edfbaade7d4e712be29,6d6949360e9e25fe45a47a996142ffb0be16a4c8b040c94021a7ed33c8f003cb,OBSERVED_SINGLE_PURCHASE,"HUD currency, displayed price, one additional tier1 unit and zero deployed visually verified. Intervening merge/discovery/tutorial rewards outside this interval are excluded."
